DATE,Price
2025-01,317.671
2024-01,308.417
2023-01,299.17
2022-01,281.148
2021-01,261.582
2020-01,257.971
2019-01,251.712
2018-01,247.867
2017-01,242.839
2016-01,236.916
2015-01,233.707
2025-02,319.082
2024-02,310.326
2023-02,300.84
2022-02,283.716
2021-02,263.014
2020-02,258.678
2019-02,252.776
2018-02,248.991
2017-02,243.603
2016-02,237.111
2015-02,234.722
2025-03,319.799
2024-03,312.332
2023-03,301.836
2022-03,287.504
2021-03,264.877
2020-03,258.115
2019-03,254.202
2018-03,249.554
2017-03,243.801
2016-03,238.132
2015-03,236.119
2025-04,
2024-04,313.548
2023-04,303.363
2022-04,289.109
2021-04,267.054
2020-04,256.389
2019-04,255.548
2018-04,250.546
2017-04,244.524
2016-04,239.261
2015-04,236.599
2025-05,
2024-05,314.069
2023-05,304.127
2022-05,292.296
2021-05,269.195
2020-05,256.394
2019-05,256.092
2018-05,251.588
2017-05,244.733
2016-05,240.229
2015-05,237.805
2025-06,
2024-06,314.175
2023-06,305.109
2022-06,296.311
2021-06,271.696
2020-06,257.797
2019-06,256.143
2018-06,251.989
2017-06,244.955
2016-06,241.018
2015-06,238.638
2025-07,
2024-07,314.54
2023-07,305.691
2022-07,296.276
2021-07,273.003
2020-07,259.101
2019-07,256.571
2018-07,252.006
2017-07,244.786
2016-07,240.628
2015-07,238.654
2025-08,
2024-08,314.796
2023-08,307.026
2022-08,296.171
2021-08,273.567
2020-08,259.918
2019-08,256.558
2018-08,252.146
2017-08,245.519
2016-08,240.849
2015-08,238.316
2025-09,
2024-09,315.301
2023-09,307.789
2022-09,296.808
2021-09,274.31
2020-09,260.28
2019-09,256.759
2018-09,252.439
2017-09,246.819
2016-09,241.428
2015-09,237.945
2025-10,
2024-10,315.664
2023-10,307.671
2022-10,298.012
2021-10,276.589
2020-10,260.388
2019-10,257.346
2018-10,252.885
2017-10,246.663
2016-10,241.729
2015-10,237.838
2025-11,
2024-11,315.493
2023-11,307.051
2022-11,297.711
2021-11,277.948
2020-11,260.229
2019-11,257.208
2018-11,252.038
2017-11,246.524
2016-11,241.353
2015-11,237.336
2025-12,
2024-12,315.605
2023-12,306.746
2022-12,296.797
2021-12,278.802
2020-12,260.474
2019-12,256.974
2018-12,251.233
2017-12,246.524
2016-12,241.432
2015-12,236.525
