Ticker,AAPL,AMZN,AVGO,BRK-B,GOOG,LLY,META,MSFT,NVDA,TSLA
AAPL,1.0,0.32929654582322343,0.370860342513081,0.2213244733785925,0.40927340173247906,0.15519666815535402,0.2938759218592868,0.48647534321852154,0.325770853540071,0.3725091946081705
AMZN,0.32929654582322343,1.0,0.45493119442656554,0.21501098157041024,0.5548900591693232,0.2524458807698826,0.5932334229488353,0.6105678814376212,0.46233870872958943,0.31059152577075505
AVGO,0.370860342513081,0.45493119442656554,1.0,0.07678839434329827,0.34105693949761884,0.25386018332702726,0.4085217957690572,0.4891445859926529,0.7019222990602373,0.39266614810359
BRK-B,0.2213244733785925,0.21501098157041024,0.07678839434329827,1.0,0.24882460979302273,0.14282964965709147,0.19074055831492656,0.24446057018188327,0.045201593738291045,0.10520512182398992
GOOG,0.40927340173247906,0.5548900591693232,0.34105693949761884,0.24882460979302273,1.0,0.16244065525347717,0.4586343841268253,0.5363844918018194,0.3853020645938599,0.2368241184297073
LLY,0.15519666815535402,0.2524458807698826,0.25386018332702726,0.14282964965709147,0.16244065525347717,1.0,0.27000682168237566,0.2565599351591696,0.30593992245773677,0.06595076666766168
META,0.2938759218592868,0.5932334229488353,0.4085217957690572,0.19074055831492656,0.4586343841268253,0.27000682168237566,1.0,0.5959133321574114,0.4424349537092003,0.2219639600571529
MSFT,0.48647534321852154,0.6105678814376212,0.4891445859926529,0.24446057018188327,0.5363844918018194,0.2565599351591696,0.5959133321574114,1.0,0.482403281124909,0.30186221376865147
NVDA,0.325770853540071,0.46233870872958943,0.7019222990602373,0.045201593738291045,0.3853020645938599,0.30593992245773677,0.4424349537092003,0.482403281124909,1.0,0.2810723061233613
TSLA,0.3725091946081705,0.31059152577075505,0.39266614810359,0.10520512182398992,0.2368241184297073,0.06595076666766168,0.2219639600571529,0.30186221376865147,0.2810723061233613,1.0
